frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	9.28458	43.21578	11.99196	13.18183	7.42065	18.56372	8.819	10.40564	2.95734	10.13348	12.42758	6.47857	0.81873	11.711	36.08461	2.44207	0.12158	10.96562	9.60593	7.75511	18.27835	15.28562	5.79381	19.74869	3.77244	3.07758	4.96976	13.17263	2.17496	2.51788	0.18061	9.83781	0.20778	20.23959	3.5736	9.28372	5.31782	36.85806	7.28941	21.64767	9.16469	5.32988	6.89623	25.46486	3.77584	10.71044	7.5371	10.10281	12.28381	3.70383	13.23945	16.45831	28.79355	12.12458	6.29235	9.00686	6.43456	6.7148	9.68865	19.83974	6.12843	5.87788	26.04338	10.12994	9.10838	8.6586	10.56379	8.89812	5.1075	22.78346	12.96632	4.95972	13.0167	14.80761	10.74244	8.74862	8.97366	10.56681	9.16269	9.3191	14.18269	7.15522	42.92246	3.45294	9.86465	14.02157	1.51029	6.22934	11.7282	10.06563	20.69697	4.63715	4.44139	12.27581	12.49392	12.43139	22.5281	13.48908	14.80505	5.46099	9.7902	8.177	23.8297	9.99151	8.03791	4.14311	5.3354	7.98084	16.1608	2.99251	3.91089	20.19875	3.64389	11.12857	10.7403	5.85685	41.57936	4.16417	18.58537	35.67698	18.92977	12.30097	6.74768	12.84007	14.86151	3.87644	10.21672	32.04167	10.82585	5.36061	18.67023	8.04902	9.64737	6.00423	10.58912	5.26009	6.98115	4.92599	9.27614	4.82754	10.4951	10.02528	20.63109	6.30628	6.52552	13.52257	15.20622	10.80623	13.80414	6.17758	27.81527	4.52854	9.58125	14.22106	2.83058	4.5518	11.04739	6.8462	13.89807	5.53595	3.37684	8.08075	12.32271	14.59821	20.46407	14.04899	20.74311	5.21771	14.16293	6.79128	11.85701	5.5086	22.09021	7.37658	11.42815	12.25161
30	60	763.00196	1720.54171	2010.68859	2397.43587	2563.7501	1673.31877	3108.05192	2211.34874	2250.25726	1805.92674	2301.04493	2259.30034	2350.50577	2099.8843	2569.03062	2436.00904	2711.20774	1149.60416	995.52068	1145.20511	1983.04008	2510.05381	2601.94936	1939.70842	2873.57808	2061.80424	1897.46849	2314.4395	2726.19613	2322.99083	2081.27533	2022.45284	2229.24601	1563.05614	1679.89299	1762.25584	1490.90354	1720.13112	2721.92506	3416.62478	2265.75278	2825.90758	2425.81569	2241.45868	2310.79695	2303.09096	2669.50258	2165.39334	2911.01618	2245.07227	3180.27983	2383.51574	2523.21733	2449.78627	2886.45662	2985.50959	2871.76484	2478.63278	2243.00939	3282.8383	2498.1166	2646.17338	3682.52253	2732.25535	2600.83381	2272.92539	2766.68059	2518.18265	3388.27373	2214.44831	4989.06089	3378.2816	2434.60148	3282.11517	2825.52239	2821.68699	1763.76035	2341.4894	2428.27628	2207.77176	2982.70565	2355.74923	3137.46136	2718.93625	3106.99576	2487.52692	1985.30255	2393.07372	3215.44161	2894.53722	3135.21078	2672.91964	2537.04161	3161.07076	2674.17277	2684.87386	3049.52524	2947.78211	2592.36175	2188.23963	2948.05703	2769.90715	3240.07795	2864.80759	4213.36901	3225.74552	2219.60031	1881.77648	1924.516	2536.20559	1899.97061	1469.37674	1871.69781	1885.54322	1664.33343	1881.49553	2050.69775	1898.62586	2357.89801	1850.88792	2306.85602	2160.78651	1969.13981	2039.54872	2073.37872	1817.09432	2033.37082	2093.86593	2205.57938	1835.45584	2193.59591	2058.8272	2075.54556	1916.38655	2084.87907	2011.3238	3287.18694	1790.59772	3344.24066	2084.76389	1802.00193	1899.83179	2185.39559	2366.6473	1961.23765	1706.69655	1855.70186	1736.34198	1799.91576	1971.90101	2101.90012	2083.3582	2264.35801	2204.12554	1787.10107	1712.4709	2169.23297	2428.70686	2169.18753	2231.3756	2103.21061	1918.76166	1917.90491	1971.8382	2100.54672	2273.9691	2013.12811	2116.14391	2342.18319	2083.39026	3231.27769	1882.21054	2865.58985	1920.78542	1265.30062	1231.0405
60	90	4353.03715	8926.06468	11704.67817	14050.69154	14278.7473	10468.87693	14728.3187	10815.26211	11901.62116	9362.77607	11220.91758	11170.39138	11296.74553	11406.80622	13503.23957	11208.27806	11300.71034	7139.47821	5038.54373	7436.8059	11742.75969	14485.62179	13272.37907	10451.52353	13995.93437	11518.1822	11405.76802	10948.70715	13111.43002	11212.55453	16109.97822	7784.68366	10790.7656	8128.82194	8173.14696	7459.51838	5647.25821	6661.99573	12813.00422	15168.76149	13437.32896	16110.97667	11216.31398	12421.49966	12041.04171	12660.02257	14327.65893	13005.7073	14580.21082	15377.41949	14471.55351	12802.52647	12062.16108	12308.86953	14951.77003	15659.20679	15173.00314	14959.12127	12224.90127	15959.47982	12603.34267	14289.44249	15284.46224	14281.18486	13313.91302	12410.36696	13606.81097	12656.54079	14623.12386	11678.90187	19284.90426	14156.36718	13217.22273	13962.39795	13299.15244	15562.33688	10216.25143	12520.39926	12647.28758	12855.11976	15305.9399	13545.07326	14835.30811	14830.10281	14952.5899	12809.93194	11199.04205	11810.07914	15562.08945	16183.40499	15101.60076	15923.6661	13492.40285	15695.7634	13799.01649	13612.54438	14914.84629	15039.26718	13754.78717	11988.50058	13696.03095	13311.11506	15027.27912	13042.18421	18629.44982	14441.64602	9877.23242	9159.0472	10503.79048	13614.14992	10214.28904	8637.44288	9862.61756	9845.37406	9209.04111	11730.83185	9724.65815	12966.8472	10355.58356	9617.52333	10760.98405	10777.65719	10856.73183	11863.85734	10310.54336	10361.38595	10919.42592	10976.33818	10803.97652	10328.14557	9863.46529	10344.1769	10382.76678	10683.69244	10545.4737	10265.64068	13833.62955	8713.40402	14164.98094	10135.80258	9230.08628	7725.79426	10038.21687	13512.25853	8509.53426	9455.53805	10635.7572	9992.36316	9109.09706	11602.12427	10077.11209	12369.94196	10730.50162	10334.82521	10616.86323	9708.30979	9988.69267	12957.62944	10821.77738	11449.95883	12067.66431	9229.41084	10278.80675	9926.91959	8470.46207	11286.42948	10828.17752	11278.68967	10840.48165	9609.66164	13769.50674	9816.94288	13585.12149	9877.96741	6430.04215	6440.67433
90	120	8192.81249	18293.13686	21066.98524	25814.97915	25396.63046	20287.68336	27580.98828	19744.75714	22612.88616	16994.70719	19696.36545	22314.46568	20743.94056	18659.19656	28022.83808	21135.26917	22843.85496	11779.01961	9666.12092	15111.07935	21025.81765	26547.25057	24962.22942	21259.03313	26424.64797	20816.60913	19590.61143	20893.62198	24064.89364	20341.51508	23766.88945	15373.57633	14969.96264	13638.45918	13824.63994	13887.17207	10883.05182	11709.64528	26433.21849	26270.35128	24883.03533	30224.51554	19202.14289	23793.93061	22800.31474	23555.62534	24971.67098	24952.85254	26411.7581	27634.40402	27268.10887	24198.40734	22322.67553	22511.00508	27251.21632	29509.34109	27026.22043	28610.04943	23196.64663	29931.09256	23213.7717	26140.97454	26167.37223	27058.76413	24556.84692	23774.50807	24352.08693	23747.6071	29012.32832	22026.86203	33852.72271	25114.30379	24242.19439	26028.39431	26057.34335	29359.69686	19981.25533	23405.72052	24312.44659	22596.98397	26307.06054	26082.10496	26817.81454	27556.96308	26794.38443	23890.67733	20099.77141	22791.34452	27413.94416	29599.56564	27728.71168	30250.07588	24206.61073	28547.54949	25780.96638	25707.16866	24926.00848	27914.18215	25089.44908	22953.06216	25286.61605	24703.02524	28786.2046	19411.57305	33882.67264	25388.93378	19937.35827	15356.41956	19362.34827	25953.18783	18966.0593	16714.04046	19079.30136	18539.8585	16277.92478	22415.14938	18443.34749	22672.0412	19543.67441	18437.21572	21961.03033	19951.92221	19742.27807	22480.27698	18065.22876	20220.73283	21087.75301	18954.59846	20426.99704	19358.52426	17634.83278	19557.79607	19447.23405	20366.62917	19454.60391	19282.70783	27515.07478	18347.83255	25718.51702	18404.4007	16229.57454	15002.7046	19111.14982	26897.48972	19529.51945	17792.06156	19944.67708	17832.48652	16259.02028	22458.9821	18764.03333	23507.44864	20259.60668	19907.6997	18467.28335	18713.66232	18785.44718	24092.24488	19078.84331	22537.25941	21565.73364	16153.39497	19254.23807	18572.06265	14595.55273	20663.25668	19828.9333	21019.41957	20763.22729	18395.23165	26784.51622	16802.35822	26424.33249	18884.64871	11659.28188	12098.54211
120	150	12167.1902	25041.59508	32056.02226	38860.13231	38476.24079	30304.26325	42107.77244	31257.61684	33394.1022	23395.69011	29959.68824	31231.64642	31080.25286	25911.89521	38770.18748	31473.85967	37938.97809	17941.45584	14729.23117	21139.86848	30956.66523	38441.01631	37484.37572	31660.84455	40618.09458	30567.48555	28777.60294	30786.29804	36816.06595	31241.75804	39121.7207	20922.45827	24604.2248	19072.68655	20397.68491	19066.30771	17359.17788	17588.10809	36777.8053	38882.30712	37304.71596	44442.11128	27759.09027	35074.90391	33783.76038	35186.53452	36201.06775	37172.73215	40840.49943	41089.70025	39334.26228	35910.25451	31501.09719	32916.39911	40774.23469	42900.84624	40011.67526	40098.40936	33724.78434	43242.25861	34714.42582	38545.92197	39148.46898	39890.7328	36505.64248	33622.17374	35822.22303	35384.79221	42429.15428	29479.47626	46787.65795	36584.13543	36613.07448	37660.79207	37259.72068	41635.90595	30719.57681	34965.32627	35216.67764	34171.01325	38035.79962	38450.42151	38519.15562	40450.73282	39243.45976	35956.15153	31355.94387	33569.61126	41136.02184	42934.828	41908.22062	44711.39198	35531.16118	41344.07727	37716.672	37511.18957	36287.96994	41631.41344	36783.44606	33352.26708	36993.8126	36330.77519	41901.01833	30264.75002	49464.12149	37310.79302	28721.98184	23935.91598	29345.14219	37957.74289	28050.82057	24248.34669	28547.28539	28237.97495	23511.76494	32962.01907	28658.90115	34199.14554	29106.94091	27230.11597	30014.43223	30073.90195	30048.51821	32764.213	26776.3778	28592.598	29630.84106	29742.56531	30218.35482	28429.2703	26483.85335	29071.81572	29091.20793	30250.40541	28627.34591	28775.76909	40688.08384	23762.51575	35550.47635	27769.67483	25144.43863	22791.60992	28418.13665	38295.49464	27773.98307	25443.30729	28727.26736	26477.9586	23586.99638	33424.03085	28026.03616	35061.45586	29530.44874	29763.91465	28288.39613	27016.65683	28032.00875	35713.40591	29881.23148	32993.70644	32071.73547	24939.93029	28854.03206	27520.84494	22139.36617	31106.97031	29542.2056	31002.49614	30845.1692	27236.69078	36003.31447	24176.77103	39323.01817	27672.92553	17326.17058	17577.01293
150	180	13758.05836	26012.11662	36272.10268	44451.83001	44495.33199	35518.34499	48770.47377	34736.91608	40076.13926	26923.80749	34124.00995	35431.26436	35592.85939	28697.17977	43202.25784	36492.72302	44363.81437	19465.00888	16520.23715	25035.38823	36399.13306	45665.34183	42777.72287	35960.06117	47333.25892	35620.62482	33725.02381	34346.12205	42606.60686	35021.19579	44183.77656	23985.64303	22385.43747	23070.50651	23099.82035	21503.86011	19384.77002	20909.57077	42360.02975	42863.41018	42745.89898	49902.47808	33668.58105	41662.48885	38376.32706	41747.433	41465.47135	42475.89968	45849.42866	46869.96083	44585.43828	42221.88276	36815.89629	37575.55375	46448.01092	51129.02738	47025.43752	49587.90888	38859.46226	47499.88888	40181.41303	43629.30518	43946.50763	46038.92926	41569.374	38896.02971	41205.79991	39783.87306	48913.2629	35499.51654	52929.36302	40642.80207	41474.28262	42956.81007	44887.81983	48036.45642	31197.90712	40666.0538	41824.83907	39986.4392	43307.29632	44968.33873	44387.14066	46525.79866	44802.42253	41672.26173	34466.38147	38954.69314	46425.18417	48603.39991	48037.76272	49304.95801	41099.98955	48731.18137	43897.50004	44053.7771	42413.42409	48323.35442	42070.40888	38964.55234	42123.95255	41682.12275	50257.27633	33362.02953	55079.46331	42480.51211	33903.57254	27195.16298	33486.29323	43823.24262	32951.60136	28371.29205	32064.15935	33049.20525	26734.69761	38535.66288	32377.47552	38718.48478	32590.08024	32006.46457	37026.54632	35280.22442	34798.07741	40472.22739	32825.10641	34450.03105	33898.94983	32741.71108	35074.21368	32656.95778	29618.38772	33950.23236	33125.23426	34494.92498	33510.59767	33703.75007	47655.27156	30332.33106	41460.59985	31832.1863	27810.09527	25295.32924	33437.94798	44999.41836	31714.95907	30720.98272	33559.48615	31792.60379	28485.79591	39122.76994	32081.05883	40747.59386	33561.08863	34854.82203	32458.39092	32302.8979	32450.52907	39705.4602	33859.54904	37881.83329	37257.99804	29805.98384	33384.9503	32377.05236	25979.70213	36411.30621	33678.68127	36544.18876	34976.0131	31124.08005	46148.36045	30927.39965	44416.70441	31584.47542	20056.0692	20317.4235
180	240	14193.37464	28843.40047	38384.01303	46094.12944	46159.22004	37263.01421	50943.12631	38786.48278	37517.6378	26813.44106	34741.95163	35526.08816	36430.90742	28634.25425	46089.10138	38012.19152	42686.59001	19884.12073	16741.04131	25175.82524	36843.53999	46691.65629	45707.3208	37998.05612	50178.96489	38306.75001	34254.94309	36187.09624	45270.77418	37017.34855	41186.93125	23341.87537	23659.2179	23232.14985	21710.57821	21856.91626	19651.5922	21024.9689	45019.64217	44881.78828	44503.61032	52142.38425	33785.42414	42974.65842	40784.97297	43125.14357	44717.87374	44159.82096	47704.4616	48569.94699	46338.87089	43454.22348	38181.79558	38969.22288	47492.46796	52017.47641	47895.47682	50222.84063	40773.36367	49988.00269	41602.52895	45983.14058	45400.86063	47835.46763	43178.55938	40326.03448	42232.01035	41827.32481	49911.19002	37399.12964	53476.02206	42878.57048	43897.67007	43758.55545	45046.46077	49764.32633	34841.81184	42699.25932	43245.69786	41390.18593	46497.41451	46619.44282	45988.28272	47169.54615	46814.72292	43821.92851	36284.19631	40599.25928	47435.04283	50635.42913	48332.71421	52249.78382	42837.63074	49945.0556	45122.09438	44810.4708	43238.9439	49206.32383	43589.61834	40186.33058	43952.36592	43635.83851	53878.33048	34574.00456	55266.38019	43949.47038	35670.27704	27835.62073	35284.57795	44969.69595	34424.00945	30603.20791	34474.7789	34597.62926	28296.49433	39982.31785	33844.8974	40465.39324	34882.34354	32967.01947	37279.80172	36289.96752	36168.43078	40593.90283	32907.43195	34831.75156	35894.59852	33086.45654	36411.94252	33701.97511	31018.95332	35579.06051	35136.75249	36289.57869	34714.24447	34474.95047	47404.4886	32268.1192	42790.02317	33928.94892	29503.07475	26808.41731	34089.74393	46771.94919	35766.80286	31787.89811	35557.6925	32860.50938	29502.41732	39850.75146	33443.39012	41563.0625	35142.47379	36503.0227	34477.24132	33492.41656	33488.2025	42341.38315	34967.13541	39335.24652	38708.22339	29871.88729	33990.14434	33517.24701	27354.93731	37682.55619	35139.72714	37495.14748	36747.34191	33293.70475	47267.98109	32359.3367	44282.44994	33043.15079	21231.14548	20993.95146
240	300	13568.4425	26362.95069	37928.58806	45244.26522	45959.95687	37592.76433	50577.003	38102.17484	38833.84163	25924.23561	34674.30163	35361.21962	37867.35908	27230.90868	46906.15662	37529.55771	40740.05129	18054.33	16695.22058	27520.88219	36847.5401	45945.57469	45674.52918	38461.11093	50735.75842	38371.29288	33500.87757	35386.55744	45256.02098	37857.30481	39993.66055	21132.96904	19646.61712	22477.30362	21790.89521	21185.51999	19111.4035	20665.42678	43746.76979	43166.45581	43215.88207	49881.01821	32935.72329	42952.14982	40020.06248	43160.35963	40953.39586	42656.39697	46565.10213	47320.20004	45520.18335	43173.685	36968.56835	38402.05258	45952.42601	49802.25715	46391.78412	48552.51297	39476.07994	48342.33682	40200.59621	44590.51154	44498.4612	46861.10276	41912.7581	39571.98575	41813.55574	41889.19958	48800.63926	36374.02702	51972.40931	42278.26808	42814.32279	43670.59919	43994.79707	47605.70661	34070.30099	42694.64976	42729.26032	41840.29694	44234.29877	45486.66893	45117.82602	45642.63978	45187.40849	43211.41359	35710.18362	38753.73574	47208.40598	48729.56427	46963.90307	50219.02201	41046.85513	48223.7933	43931.89723	43842.07175	41484.93029	47681.64852	42662.75634	38849.30407	43094.30941	42954.16498	50682.66403	35209.08071	51114.88706	43330.98448	35284.93546	27701.6374	34476.46455	42934.27182	35654.86456	30511.15712	33689.81928	35166.1218	27117.78147	38769.49983	33479.58321	38884.68833	34457.92688	33396.65907	35455.88097	36621.38693	35488.0319	41007.78935	33143.76406	34447.98137	35680.13323	33442.26563	35314.14407	33814.49399	30615.85906	35309.10963	34660.09996	35313.86993	34494.17045	34949.96822	46481.00522	34210.26999	40671.28104	33875.43191	29697.67182	27221.25611	33937.36519	44716.87822	36221.90662	31992.44724	34934.91493	33707.39329	28530.68706	38965.09372	33856.0933	40314.67857	34421.76089	36516.23436	33435.09053	32833.58221	33757.43632	40638.96261	35142.44983	37955.09745	37718.95763	29812.0774	34086.21967	32899.79769	26685.44957	37111.82623	34718.80349	36385.60875	36424.7592	32716.93282	45690.55889	34859.745	41851.59352	33553.77604	21459.39162	21572.3477
300	360	13471.50117	26797.40861	35749.45027	42928.78619	44009.61324	35324.32152	49831.52415	38500.29648	36547.13584	24835.06988	33874.48167	33712.37705	36174.07227	27295.5241	45858.44597	37077.24264	41105.18852	17112.35198	15926.57201	27509.95815	35771.2279	43957.45375	43680.43614	37082.07383	48270.07051	38479.70295	33599.32063	33532.4476	46149.71517	35960.72825	40970.77344	19062.41388	20635.68715	22023.64464	19627.16693	20432.03932	19725.68294	21365.98818	41118.03007	41639.00571	40913.89487	46193.46181	31864.17314	40823.99575	37733.99486	41139.06299	39616.72316	40118.88113	43578.54147	43427.63844	43537.48185	41430.13126	35276.86641	36167.25197	43587.30439	47636.73431	43822.18335	44056.60157	37364.56069	44686.45285	37727.06728	41755.58142	43388.13159	43660.91489	39126.55852	36968.15938	39463.21414	38902.22126	46978.67151	35279.82201	47552.64154	40691.15834	41924.72616	41117.8408	40726.9234	43442.848	32828.14134	41068.34526	40009.29156	40829.38846	40397.73823	42189.47772	42178.55535	41848.3978	43718.3516	41286.49256	34692.36237	37466.52701	43144.33672	47819.64661	44545.87435	45168.28604	38438.90324	44706.00673	40908.40612	40909.12948	41103.49819	45267.40042	39964.65523	36450.02178	41169.02502	40298.02212	48130.5899	35594.51319	47984.21034	40472.80724	34048.80413	27502.59922	33165.39578	40813.3714	34513.85345	29920.49497	32290.37097	33683.1535	26860.73457	36136.30603	32470.82896	36923.95148	34101.89993	32506.35832	34002.49119	34271.10253	34918.10291	38118.03637	31933.1089	31940.1063	34092.99279	31265.05773	33919.18545	32394.57118	30444.64305	34381.98733	33565.82903	33565.32429	33332.89919	32606.97126	45263.30354	31656.4194	39540.19816	33395.84827	29061.74042	27190.06992	32802.09776	41869.57823	33713.93379	31582.85621	33529.88611	32957.57993	27900.84899	36531.71299	32559.28794	37503.81997	34149.15233	34905.51363	33523.35354	31176.08571	32100.85245	40495.8338	33473.0699	35102.80439	35737.85783	28692.7379	32252.29477	31246.62925	26295.0911	35931.06749	33233.15025	34296.77054	35185.50089	31808.7096	44445.89663	35226.85588	40216.98011	32388.00326	21365.12458	21138.05801
360	480	12378.86121	25249.79524	33559.25357	38991.14656	41089.7791	32486.21253	46320.62456	37532.39691	34454.32508	22174.56302	31866.88811	32023.41335	33620.34771	25229.63789	42508.74908	35299.57483	39716.88723	15232.14754	14467.43302	25569.66124	33492.27028	39528.85204	40941.35217	34048.13145	44825.27941	36925.36136	31717.23992	32984.58251	41521.55962	34519.1115	41614.79688	17726.67213	18003.08019	20990.011	19068.0544	19902.26279	18100.33487	20182.35416	37600.24069	37340.35752	36640.55201	40896.47903	29825.62849	37627.01269	34113.08916	37524.63061	35238.92027	35181.80722	39726.30512	38688.3242	39658.28222	37755.72794	33453.12217	32466.89659	39317.51187	41685.64938	39259.74935	39857.17114	33989.31958	40967.59037	33931.67453	37121.81319	38614.72619	39300.66275	35322.47815	32603.03746	36194.11488	34940.71885	40882.01104	33256.73031	40760.39165	37454.62706	38242.96094	36809.89321	36856.1471	39175.46334	30953.52472	37845.3064	35919.1855	36854.67194	37002.59383	37410.4019	39020.26319	37213.27733	39477.5371	37976.82862	32571.07351	32832.36169	39641.76964	41188.12328	39575.09322	40164.02029	34491.18482	40301.88027	37023.59454	36869.06711	37519.30797	40540.99488	35892.69297	32369.39814	37165.78517	36242.1229	42283.32908	31752.21728	40691.7597	38065.56923	31544.36243	25817.8751	30824.8727	36552.76191	32761.2046	28108.20898	29740.16984	32016.36322	25057.51524	32789.68065	31310.72274	32785.6432	31408.29114	30547.71418	33093.40693	31483.16546	31727.41339	35778.70209	29761.36584	29579.89311	31527.98769	29730.03738	31098.87123	29383.8258	28939.54872	31469.64675	30912.49129	30770.77151	31048.00695	30423.4478	40009.4391	31576.87011	34814.10168	32080.02733	27575.1858	24580.37712	30426.33965	37531.72826	33070.22675	29895.99026	30697.29737	30912.76379	26575.17786	33357.60601	30680.13278	33694.33969	31558.226	33210.6333	31490.93117	29001.07375	30109.42405	36349.10289	31584.33149	31628.52974	32293.08902	26278.70975	29996.08666	29258.4326	25403.94881	33077.32532	31016.76164	31608.09238	32717.92401	29576.40044	39831.15264	30533.92821	35020.67091	31319.41069	20932.55023	20815.38656
