frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	18.57042	7.96099	26.33742	18.79681	21.35783	29.85798	20.75453	7.87366	17.12287	38.8405	15.94452	40.21511	40.19585	31.37918	7.5297	8.74928	3.18956	7.62458	8.24747	12.75182	24.82823	31.83498	16.58089	2.92512	17.36198	12.65027	24.64448	16.56447	2.02085	13.71228	97.51811	4.70139	158.25404	21.15658	1.19096	4.72574	34.35077	9.77232	34.09153	14.68494	12.77308	7.02351	33.42461	8.74214	14.15321	17.17543	6.20016	6.28933	25.29824	14.69502	20.54717	22.92724	2.82735	9.12661	14.01139	6.67831	25.56123	11.0152	19.23934	3.2826	16.19474	7.55346	31.35104	22.54304	10.8885	11.95241	29.11782	21.91515	8.8077	9.53994	19.89378	53.61705	18.20309	12.74905	15.45338	15.45453	32.56791	22.80707	11.49931	20.79342	10.70972	18.277	29.95623	11.89923	15.06783	18.2143	49.23004	12.25311	37.42368	12.85398	14.85898	3.72469	13.5673	6.84071	15.53587	8.45238	13.99323	11.84654	20.09947	3.91523	31.28087	11.66393	53.68171	55.78271	15.73672	16.38439	20.12642	15.25364	7.62987	7.51446	9.18939	11.87161	16.32151	12.91314	28.63539	5.99999	21.66132	12.51506	14.455	14.78929	9.78525	4.73834	9.9974	13.0069	24.54904	10.43762	16.22802	8.48309	14.04292	16.82728	30.12849	17.49555	12.44297	12.7045	21.18191	14.28294	4.25404	7.26493	14.45309	27.17059	11.89883	8.73661	10.4517	21.23428	38.031	25.88951	9.53996	26.01246	15.78481	19.26167	19.30752	22.18521	23.88573	15.75196	59.56319	8.99911	12.01003	9.39423	9.94265	5.27208	13.69948	9.09472	16.25568	9.90275	9.04506	7.45963	25.20525	4.9979	21.69356	12.66815	22.95655	39.26846	20.32575	11.91168	17.85456	12.6704
30	60	1256.14133	1742.12261	1688.75196	2206.14603	2129.00892	1854.92522	2392.00072	1835.14032	1733.63879	1673.1243	1738.19299	2000.04852	2068.08484	2948.9645	1871.63896	1866.24923	2040.61159	1807.05356	1285.12452	1719.16468	1526.89014	2153.60146	2306.79312	1797.25661	2765.57739	1952.13491	1900.05197	1854.48709	1592.40823	1619.63105	2089.15172	2278.28967	2100.92034	916.68863	1665.59108	1007.75063	1160.45663	1709.28934	2726.21396	1971.26818	2489.16096	2557.21719	1413.92577	1986.18845	2260.25777	1998.43394	2182.26167	1910.01667	2697.04575	2512.54393	2679.39954	2017.05878	2068.08118	2050.83565	2935.62851	2213.07462	2289.16391	2719.08577	2488.52932	2516.13958	2352.18305	2395.42621	2429.88832	2289.7866	2497.36279	1999.05768	2461.59062	2488.82528	2521.74088	1851.99039	3365.61348	2959.43479	2502.136	2855.45498	2227.53915	2398.86594	1799.17109	1826.73765	2235.00847	2002.80783	2469.30193	2162.77379	2524.80278	2487.30382	2747.25033	2032.07816	1881.27838	2581.11138	2952.44291	2699.70268	2436.89141	2950.61085	2456.3335	3058.30547	2439.66202	2642.14032	2752.57307	2500.42639	2715.20429	1954.06581	2791.69218	2403.33899	2373.98666	1706.56598	3539.07694	2387.77815	1677.65407	993.10613	1677.946	2085.95371	1515.81357	1489.0902	1680.78749	1611.34554	1184.74281	1700.06307	1794.82213	2133.05101	1804.89958	1565.65584	1685.87142	1384.43958	1973.72641	2125.74479	1524.41654	1695.27086	2041.30383	1391.16652	1733.45347	1557.72978	1346.59437	1665.8931	1785.66109	1651.635	1632.62584	1625.62816	2124.67472	2474.52888	2605.19228	1752.39853	1596.58672	1562.12678	1481.16654	2234.20664	1622.71113	1321.56122	1697.07185	1540.82939	1471.59684	1748.46787	1493.84027	1961.11071	1721.99347	1352.33217	1709.41621	1606.4131	1573.90984	1884.81778	1522.80486	2116.79705	1965.71147	1668.07462	1562.67955	1730.64806	1816.09966	1685.13852	1943.51736	1613.05486	2002.62292	1527.51759	2162.2682	1488.91027	2756.75843	1676.30674	1008.61609	1050.44269
60	90	4597.26327	7660.99355	6282.15252	7945.93532	7463.95859	7124.04457	8813.37138	7393.094	6578.5187	4986.54552	5746.14447	6815.05119	6109.10727	7312.57381	7429.38271	6316.90978	5897.64541	7478.37774	3873.50465	5438.21164	5933.06829	7986.67209	8371.10328	6678.50096	9442.72888	6998.29568	6271.88841	5445.56586	7745.04505	6134.73675	7693.35616	6649.8076	6488.79318	3885.76007	4656.3677	3567.35949	3882.33443	3185.06822	8420.22923	7322.85906	8803.30465	8599.63961	5468.15087	7032.92185	7836.31903	7260.80051	7851.72535	7123.64043	8958.961	8778.32301	8103.49351	7402.9812	7009.8156	7136.87092	8841.76772	8158.85672	8442.11397	9878.21531	7828.23513	8213.6147	8314.51833	8824.45475	7694.9214	8462.82942	8611.73097	7448.07674	8105.63372	8154.54332	8967.52182	6073.29037	11657.33217	8554.10276	8097.04263	9226.45858	9050.85155	9738.53822	5111.19229	6891.417	7995.53529	7396.96363	8887.85478	7773.07738	8309.63012	8553.74966	8950.89976	7740.30294	6430.74633	8952.57504	10028.81704	8945.01415	8976.18731	11590.60418	8117.41714	9434.89209	8481.74317	9224.30857	8392.77728	9109.77592	8956.93494	7068.68277	7919.21637	8458.5086	8127.15421	5998.99235	10085.49142	7491.28848	5251.56768	3852.60286	6451.07087	6882.37067	5503.85739	5332.59542	5934.03733	6271.73942	4848.18096	6013.11647	6354.67555	7164.03398	5586.93855	6150.17405	5816.13931	4586.35096	6310.44923	8243.49905	6236.73065	6417.50799	6958.01818	4456.49435	6133.19129	5507.4155	4003.35964	6116.12592	6060.462	5762.82034	5436.67318	5744.83544	8054.1871	6821.26615	9940.26413	5858.07548	5296.04029	4667.79179	5393.76047	8478.58329	5009.34899	5549.0611	5777.33576	5908.90725	5225.47725	6340.34493	5590.57591	7000.25418	6315.94339	5353.62489	6048.79532	5698.76238	5832.5697	7018.44983	5747.3224	8085.51071	6587.19957	5335.72427	5575.24569	6007.20123	5388.57947	6154.02704	6250.43501	5673.47814	6007.41254	5260.94404	8445.72115	5646.65784	8479.14022	5598.12782	3569.40389	3425.19291
90	120	7666.4166	11329.64168	11109.16278	14548.76293	14156.30231	13463.11837	16908.29097	13225.35579	10272.92979	9164.43236	10052.78387	11948.66066	10453.91026	14124.76087	14040.37828	11220.28163	9252.38572	12468.91012	7683.97625	9911.26257	10906.22915	14810.98784	15185.13452	13731.34689	16628.12527	12565.69235	11008.25065	10661.99399	15000.61898	11254.14107	10572.78377	12833.3178	9045.66743	6328.82558	7397.08972	6047.8374	6769.08125	6292.75028	15154.72405	13011.24498	16445.37636	16049.9138	9865.67623	12701.31342	14535.7637	13090.92894	15060.14938	13479.39398	15499.56706	16366.55146	14912.79419	13802.89367	12663.33358	14013.34898	16177.37296	14380.51503	15838.65049	18413.58905	14153.7519	15394.53143	15198.75905	16193.322	14076.99851	15985.39299	15697.34992	13989.10183	14611.77354	14593.00338	15579.14207	11116.70227	20297.67037	14980.44547	14954.9783	16270.02479	16035.43524	17196.86456	8792.23172	12206.98645	14583.85703	13084.91729	15783.95854	14243.98081	14673.79262	16140.79774	16050.65045	14098.0123	10818.55687	14952.38433	16725.54165	15885.46698	15672.18446	19706.94854	14655.37601	16517.34894	15445.7872	16403.18917	16232.06416	16642.13163	16145.90583	12855.04517	14535.62482	15121.84708	14383.47396	9803.64118	18356.68968	13042.69755	10804.43205	7003.64744	11244.11611	13134.45332	8961.86104	9403.81084	10856.39497	10740.96567	8444.70097	11200.23044	11200.58966	13042.23074	10986.61786	11344.97524	11925.94718	9339.78843	11248.22974	14604.0172	11560.94593	11705.30469	12832.31666	8529.8949	10809.69901	10102.64991	7714.50262	11564.00199	11000.05644	10931.42184	10242.27811	10281.3855	14974.96383	11957.95888	17010.69852	10812.78601	10101.11503	8885.72015	10066.82351	15636.76992	9136.58563	9876.68041	10806.72609	11004.22216	9150.19502	11511.17239	10610.35905	13151.99652	11524.7008	10059.11043	10258.8603	9854.81003	10192.48876	13879.82395	10307.68892	14043.23808	12370.95911	9395.71172	10448.96687	10953.77476	9822.85726	11306.69165	11640.42231	10343.00983	11394.97582	10073.7176	14128.02178	9457.58158	16025.55103	9789.73399	6208.10373	6567.95755
120	150	10908.74762	16603.44204	16865.8047	21515.22159	20160.52721	19622.25708	24377.2869	19109.32268	17367.51769	12495.37603	15318.65872	16917.25791	14328.018	20193.56782	21666.01752	16382.20551	17446.72183	14964.47301	10393.62019	14046.19305	16245.95233	21362.69786	21319.88648	19016.64641	24258.25783	17770.55989	16425.35853	14834.6882	19667.64192	15737.87067	14299.39469	17409.3178	9739.28671	8517.41229	11188.22871	8020.80777	9294.82558	7559.21056	21553.91116	18148.80673	23701.50741	23088.031	15017.91944	19292.80357	21251.95347	19224.46857	22484.33236	19528.87052	22263.84041	22844.18117	21188.99289	19806.08925	17444.31829	20889.64452	23173.44706	20437.6145	22619.81963	26690.66446	20651.36444	22204.2508	21900.25726	23789.75558	19496.3605	22748.44724	22364.43712	20295.44408	20289.92308	21298.32078	22627.94935	17189.2364	28657.0279	20819.29518	21168.03175	21042.88571	22849.33136	24017.45638	13772.47095	18340.55882	21486.36219	18937.13638	23259.32744	20820.64993	20939.82355	22832.79799	23012.17035	20516.99667	16031.42747	22178.39733	24491.46828	22929.70564	23227.4647	28195.74632	21803.2258	23014.72492	22441.71839	23837.54626	21987.17625	24085.15984	23300.43585	19340.06408	20565.06118	22078.99812	21590.35106	15373.78482	27246.08313	18912.27975	15029.99754	10010.79613	15952.91572	18671.2623	14784.67459	14290.51361	15696.70911	16055.41625	12649.32615	16084.87848	15716.10742	18673.25768	14981.22908	17114.54833	16617.05327	13988.76113	16442.42025	19739.89144	16473.51053	17151.91846	18970.9985	11957.77033	15707.66604	14979.26049	11402.57591	16004.4079	15649.80156	15901.08453	14884.95075	15154.13515	20826.44289	17656.20886	25225.28935	15067.37786	14422.59568	11441.89602	14099.66329	21014.15134	14138.12102	14475.55919	15463.3857	15503.02649	13279.21708	17082.30515	15198.23938	18732.52506	16603.1377	14340.18547	14715.45183	14370.91265	15269.25235	20714.47178	15334.90746	20243.80487	17873.84906	13436.37674	15392.58473	15869.76338	12957.73839	16669.60205	16713.05621	15714.93875	15950.55505	14752.88803	21360.45627	14963.93417	23199.70569	14170.88933	9278.48684	9058.62338
150	180	12683.78086	18975.397	18951.48409	23997.6019	23113.70075	22621.77216	27493.02492	20841.751	19487.99009	14225.52598	16956.55466	18338.04666	17169.87113	21532.3787	24509.61857	17892.47862	17962.9412	16880.53124	11864.36198	15385.90364	18398.1196	24200.1827	25005.03079	22187.59361	27411.01954	19328.92996	16739.24219	16472.98905	23382.47733	17769.39466	16551.0612	18122.73123	10484.8084	10620.06827	12604.47732	8508.40032	10843.53893	8793.17024	24371.35228	20421.98116	25602.15239	25860.67727	15359.59923	21381.45181	23611.16639	21931.95157	24598.15217	22567.31329	24549.13035	25994.87928	23605.88376	22019.4922	18367.94163	23492.94926	25442.78374	22975.27852	24602.46496	30338.96348	23210.52139	25708.64169	23950.95581	26929.90226	22532.86622	26091.27596	24633.2294	22632.1872	21987.83477	23532.56883	24798.30204	17367.13791	31585.97066	22674.91957	23940.45983	23734.73798	25997.16489	26914.29345	15586.28514	20255.31516	24090.20576	21935.41536	25195.82958	23311.13931	22961.90895	25215.02751	24689.54609	22722.11121	18304.49318	24218.28022	27503.04861	24585.21051	25733.67011	31474.34378	24422.62973	26911.72008	24496.86436	26650.47853	22878.09519	26406.46706	25600.48169	21856.64572	22143.65785	24610.6471	25397.88662	17202.42731	31286.31671	21570.89116	16960.91274	10839.28196	16925.2969	21643.80548	15177.35176	16652.38864	17632.94891	18460.83149	14658.64146	19176.13343	18179.36149	21194.14326	17450.68625	18576.69454	16880.16163	16226.7877	18247.69835	22457.53367	18173.19066	19614.13658	20755.60172	13106.74656	16960.77955	17189.15663	13011.58793	18189.48878	17303.08148	17909.30227	16283.37096	17680.0127	23474.52246	19583.08964	26885.93633	17114.7094	16204.17392	13466.70948	15793.7381	24047.00686	17886.05808	16820.58225	17982.62403	18810.88318	15629.29025	18927.21186	17155.0635	20859.88085	18045.04807	16203.17321	16702.35616	16739.39081	17515.48706	22238.33214	17946.15088	22079.3584	20421.53449	15238.08408	16943.67481	17618.21149	12867.7954	17838.76073	18221.98901	17718.05797	17415.23223	16510.46727	23971.21948	16393.70594	27707.35994	16398.44962	10332.21231	10249.41767
180	240	12343.14964	15554.634	19832.86718	24701.42158	23685.51497	23542.27301	28602.69279	22244.82685	18588.60459	14309.97533	17030.59419	18094.2273	16755.88545	20030.3284	24831.1663	18007.59302	16913.75298	16734.3877	11087.58898	15002.39373	19142.41898	24850.21551	25075.62371	22833.62201	27459.93081	20163.86248	17807.15811	17399.4246	24241.77152	17629.12606	17932.604	16558.21781	9542.6949	8949.03706	10875.26783	9491.42752	9715.4394	9375.53233	23616.91183	20521.11689	26303.80764	26367.56058	16299.0886	21716.6627	24216.75906	22594.93164	23950.49094	22749.69883	24298.35924	25965.3009	23549.74273	22469.68453	19640.95524	24243.01531	25304.2803	22283.45084	25057.64409	30034.49028	23480.60556	25146.50062	24446.29079	27343.22049	22748.34223	26270.51106	24882.52309	23202.96989	22404.37182	23883.35365	24613.03866	18932.65096	28839.22679	22187.23487	24624.1114	22878.78242	25639.71657	27075.30952	15500.03167	21175.01586	24380.29206	21815.49333	25010.69598	24137.50893	22953.09296	25846.76827	24682.81925	23157.49114	17940.92891	24274.90811	26479.10059	24173.55327	25357.74972	31201.261	24009.57948	26270.36825	24896.60999	26797.717	23728.94371	26722.23601	25376.97611	22369.92191	22086.89716	24538.4912	24744.50081	17185.74378	30413.13232	21281.83333	16952.88524	11306.99979	17233.32507	22104.69534	17225.43221	16909.84349	17947.7144	18920.22227	14206.17999	18812.49072	19268.35838	21420.4447	17864.64694	19269.3043	18300.07848	16196.83474	18648.76426	23433.35737	18838.60182	19979.75591	21640.35425	14039.45294	17787.81847	17453.39733	13303.15665	18595.70558	17689.16573	18172.39258	16524.36585	17341.22139	25082.8846	21231.38363	25389.94621	17658.90489	16802.65746	12770.82964	16178.41258	24513.1826	18464.14101	17199.55376	18091.58316	18972.36387	14990.72286	19831.24465	17688.05392	21311.47855	18040.2325	17084.50933	17308.84719	16216.95691	17261.62784	23863.08658	17698.48252	22054.36517	20436.10015	14833.92124	17139.17372	18279.86954	14515.3083	18482.12806	18311.93153	18152.73496	17306.56535	17153.43021	24093.14103	17192.16853	26127.12442	16292.77215	10625.21144	10200.93871
240	300	11712.54287	16835.90962	19084.67941	23971.78739	24058.40009	22472.42133	27201.77111	21679.72106	19440.61325	13551.11813	16989.85487	18065.77821	16814.07378	19811.17907	24149.24954	17662.83992	14888.9484	14364.82524	11232.69439	14907.17941	18501.72663	24026.59368	24098.14001	21829.96667	27761.92658	20185.42842	16780.67807	15730.64198	23910.22798	17177.47435	16529.63273	14739.1721	8289.49044	8883.12063	10720.41144	9182.55134	10537.83868	9296.12082	23313.77733	20173.02077	25440.11757	25486.41643	15964.96965	22065.72534	23354.31085	21968.40101	23374.37271	21815.80185	22923.17944	25185.22833	22620.61108	22310.98329	18931.31155	23830.85802	24669.07316	21849.46879	23856.42628	28939.0298	22792.61738	24566.94586	23680.58238	25880.60396	21817.02944	24819.28556	23965.15032	22519.37413	21708.42498	23350.57323	23714.09404	17577.13117	26865.70245	21458.49564	23541.93137	21829.8364	24962.99747	26371.769	15272.18554	20800.98512	23522.4185	21517.87439	23167.34357	23171.29841	22657.21718	24589.70328	23915.95997	22395.52993	17616.85852	23206.97747	24977.27676	23002.22578	24285.62602	29091.47823	23191.33106	24522.7968	23803.74454	25800.51533	23033.03553	25464.93851	24351.30928	22229.24339	21811.38052	23856.25729	23765.07488	17020.32199	25465.76779	20763.29409	17020.04149	11432.01299	17078.845	21523.51449	16600.65723	17274.02092	17555.02511	18621.60871	14524.11164	18391.97668	18447.60637	21339.59465	17563.478	18915.19629	18041.70026	16607.35699	18720.82158	23277.27987	18334.89914	19770.90252	20593.98627	13827.2074	17100.46655	17232.8603	13406.68768	17940.19316	17172.82196	17741.52237	15905.91608	17320.36214	23804.83148	20111.86599	24297.5191	17286.92079	16349.6419	12844.48712	15747.96597	23407.91829	18645.98916	17246.92978	17642.31651	19126.04669	14404.55021	19043.36805	18291.16736	20262.18676	17763.91528	17045.59118	16383.65226	15359.10258	16811.6161	22654.85048	17811.134	20823.52985	19644.24397	14296.79339	16659.87573	17772.78807	14009.66912	18008.29889	17679.02817	17721.927	17433.35663	17082.01967	23650.74747	18026.56162	21810.45552	16494.10849	10598.20706	10288.45344
300	360	11012.272	14642.15161	18682.40958	22722.56457	22685.54805	21849.43343	26091.45745	22203.2861	18139.55173	13187.0531	16716.96795	17105.2039	17319.86846	20037.08541	22321.53534	17585.25026	16266.41401	12429.08432	10071.05044	12631.33055	17851.93926	22866.21754	23855.15009	20672.37493	25949.40766	20148.75204	16409.5095	15853.85591	23059.72398	16587.75819	17488.32951	13596.30497	7457.38806	8037.76901	10130.7303	8486.13913	9224.59696	8921.45994	22525.04177	19729.96265	23549.47882	23627.22991	16224.62884	20796.35953	22031.98185	21131.23749	21495.08971	20642.66761	22299.89026	23504.84026	22343.73357	20955.34415	18376.58098	22142.95876	22976.63767	20596.49909	22361.61296	25469.18132	21642.12359	22774.73617	21779.39831	24314.40613	21604.16209	23644.78577	22302.05938	21233.62639	20674.34384	21845.58948	21315.4867	17614.32157	25453.6175	20587.11224	22313.63162	20924.30083	23159.62018	24486.64443	14429.23528	20369.42471	21968.548	20395.05097	22145.41095	21653.55469	21199.72211	22807.60282	22803.08669	21027.43478	16854.30161	21480.69272	22776.37116	22055.83143	22395.06453	26797.24127	21867.4128	23493.29037	22413.26043	24197.6878	21723.11467	24099.15617	22806.57156	20537.90198	20820.46413	22502.9915	22204.61284	17339.71938	25504.03688	19698.65926	16140.0055	11578.1013	16357.55696	20454.73095	17308.494	16594.93191	16975.59986	18301.15382	13822.95139	17445.00488	17607.51442	19959.05862	17176.92503	18069.13932	18220.51628	15477.32312	17474.19914	21951.76051	17334.954	17548.19071	19816.10439	12768.61333	16129.74328	16401.68366	13343.47115	17121.05878	16483.8187	16667.11955	15684.05661	16511.97883	20895.24405	19834.47189	22992.45009	16647.1383	15050.79585	12404.03482	15042.13584	22413.18826	17455.22432	17218.92216	16881.48183	18047.10642	14340.3054	18229.88521	17073.22131	18988.40499	17172.40003	15777.41746	16724.85263	15068.43038	16073.54394	21399.26752	16726.65596	19682.44764	18504.47685	14098.45311	16207.20314	16802.25865	13253.66534	17549.47022	17207.27972	16750.24485	16887.31693	16363.19275	22143.69631	17719.62411	21902.74888	16217.6305	10441.18933	10132.53015
360	480	8969.63492	13944.2285	17704.68997	21108.53757	21453.64696	18644.26365	23589.5667	20502.7911	17533.49413	11611.98593	15906.79516	16196.86393	16275.44806	15693.45262	22431.20801	16929.97825	19313.52138	10327.96743	8484.35085	12155.34171	16846.15339	20997.85013	21449.87826	17766.94291	23594.87256	19676.19812	14850.11086	15461.05829	21899.87239	16926.063	17661.9506	11768.17033	9333.12989	9670.97661	10604.05558	9415.37235	9909.77287	8774.8299	20598.0253	19374.04037	20821.97091	20886.59256	16109.48213	19612.17238	19822.96469	19887.57007	19868.94923	18596.07455	20290.36006	21231.36877	20043.52633	19365.29508	17258.05303	19395.41739	20071.93029	20549.54823	20322.07916	22184.99428	18768.69182	21607.35401	19677.12828	22011.05814	19002.36986	21266.10006	20030.08798	18880.85643	19583.27736	19405.10556	20434.59201	17152.42202	23745.22493	19504.96539	20673.33993	20357.84997	20151.77764	21076.05984	14990.65254	19060.69129	20209.8237	19544.47219	20866.01754	19737.43257	19356.2717	20988.12649	20717.17249	19983.59744	15919.20619	19572.39508	21413.07667	20966.67727	20535.58457	23456.80349	19288.52938	22595.97776	19863.16073	21664.76929	19227.41275	21656.39039	20145.28112	18319.39221	19190.85724	19956.37157	20218.50117	15825.44523	22661.88217	18640.52652	15995.75051	12230.6256	16299.70667	19055.56033	16429.85927	15019.09675	16488.69299	16771.58228	12830.68242	16400.23302	15577.31364	18118.03903	15756.75448	17230.15175	16463.23039	14657.79956	16376.35452	19725.80323	16154.74169	15733.38606	18233.07611	13249.20178	16337.9177	15532.2577	12925.6034	16913.70012	16171.05025	16782.77937	15690.87848	15916.35119	19732.8884	18645.84322	22322.81628	15783.63872	15630.14927	13096.30605	15352.01435	20182.58719	16271.76352	15386.34569	16607.55098	16498.69388	13869.51801	17046.01439	14814.53498	17740.47396	16325.15271	15897.34595	15322.61806	14907.64878	15798.128	18333.65833	15747.24959	18041.60391	17405.42168	14909.40709	15770.34549	16071.74685	12503.40628	17018.41076	16452.13977	16409.7437	16564.45933	15340.86013	19107.79673	15486.59309	20634.65503	15258.73629	10156.84658	9971.92211
