frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	-10.154787063598633	-101.9259262084961	-15.524601936340332	46.90498733520508	79.16046142578125	13.423192024230957	-165.27906799316406	25.9096736907959	12.540950775146484	-67.60846710205078	34.35848617553711	-371.0360107421875	2.5672190189361572	185.5021209716797	-11.273077964782715	18.176454544067383	-31.251243591308594	-37.4383544921875	54.0865364074707	-38.71876525878906	79.77056121826172	12.252179145812988	57.09967803955078	71.96028900146484	-15.635095596313477	-178.02647399902344	-8.251726150512695	-89.97994232177734	141.78115844726562	-30.761173248291016	32.34908676147461	-51.58824157714844	-16.54570198059082	-158.56495666503906	-161.74542236328125	79.13549041748047	117.00164031982422	-89.1885757446289	59.19927215576172	-2.582982301712036	-7.989769458770752	-12.764827728271484	-80.38838958740234	57.430931091308594	98.77027130126953	-27.86557388305664	67.70606231689453	-91.59185028076172	-49.63128662109375	-144.5573272705078	-39.205474853515625	-40.90056228637695	-59.12033462524414	40.99061965942383	-5.925559043884277	20.019540786743164	-207.48147583007812	36.263702392578125	43.66621017456055	-39.39781951904297	-16.201135635375977	-41.07090377807617	71.16211700439453	-66.79666900634766	94.71776580810547	-45.33551788330078	-83.07390594482422	405.501220703125	130.53939819335938	-28.7478084564209	-113.11336517333984	48.2541618347168	23.51934051513672	-7.92539644241333	-10.206282615661621	-19.49204444885254	95.22179412841797	-46.41515350341797	43.46451187133789	-15.448614120483398	83.30767059326172	77.04069519042969	-74.92413330078125	52.11445999145508	-20.002925872802734	71.6072769165039	42.878456115722656	-77.69914245605469	56.49996566772461	64.20926666259766	-18.718238830566406	-33.62175750732422	0.8852012157440186	13.687597274780273	-8.310802459716797	18.671096801757812	-261.3219909667969	-104.76882934570312	66.1290054321289	17.537036895751953
20	40	354.3936462402344	221.84939575195312	599.8192749023438	495.6103210449219	424.5772705078125	681.2593994140625	359.3817138671875	411.32855224609375	868.8121337890625	363.6127624511719	329.2652282714844	234.2279052734375	489.2997741699219	398.2921447753906	378.6920166015625	371.17132568359375	560.0648803710938	721.1836547851562	188.82342529296875	335.0833740234375	270.7882995605469	597.4312744140625	826.3179931640625	890.4122924804688	237.2941436767578	428.5416259765625	543.8656005859375	642.36669921875	542.7456665039062	458.9481506347656	692.0966796875	484.16705322265625	544.4600830078125	325.6587219238281	283.70318603515625	584.9678955078125	975.9439697265625	587.849853515625	443.221923828125	379.6504821777344	556.8177490234375	596.8787231445312	241.84178161621094	715.906494140625	493.39764404296875	629.1113891601562	421.3832092285156	111.01234436035156	518.2186279296875	699.06591796875	646.8644409179688	543.4597778320312	371.65020751953125	867.0857543945312	589.2099609375	481.35919189453125	240.25047302246094	367.84771728515625	608.4364013671875	495.88214111328125	515.841796875	460.3050537109375	672.9406127929688	1028.615478515625	575.89501953125	691.9418334960938	257.8453674316406	974.0135498046875	609.0114135742188	841.2159423828125	181.753173828125	588.3440551757812	482.8837585449219	405.233642578125	612.5465698242188	665.3512573242188	143.73284912109375	594.6621704101562	455.9461975097656	343.14324951171875	255.57461547851562	698.4671020507812	464.4203796386719	558.3419799804688	522.2238159179688	513.4481811523438	454.2054748535156	-256.2189025878906	424.7242431640625	695.4619140625	-306.6867980957031	420.2631530761719	461.5843505859375	460.5159912109375	715.0787353515625	516.128173828125	-20.370838165283203	1021.63671875	489.6492614746094	665.58203125
40	60	1265.569091796875	1653.653076171875	1582.148681640625	2215.8916015625	1188.7032470703125	1362.4388427734375	1504.2645263671875	1175.61181640625	1611.70068359375	1349.2802734375	854.3278198242188	1304.3277587890625	989.8723754882812	905.3839111328125	1269.268798828125	1281.5570068359375	1963.5965576171875	1611.771484375	1188.436767578125	1621.614990234375	780.9654541015625	1673.6749267578125	1164.97216796875	2026.135498046875	1604.0650634765625	1717.92236328125	2046.0880126953125	1311.7960205078125	2132.951416015625	1193.4344482421875	1935.489501953125	1046.0423583984375	2217.7724609375	388.06103515625	1506.9293212890625	1839.0220947265625	1314.2950439453125	1607.2142333984375	1631.7855224609375	1546.1473388671875	1761.1629638671875	1804.6578369140625	1420.269775390625	2485.073486328125	1275.15966796875	1621.3033447265625	2016.2353515625	2257.312744140625	2024.4398193359375	1644.24951171875	1536.27392578125	2134.419921875	1764.0592041015625	2258.1064453125	1383.1998291015625	1938.7127685546875	2314.6591796875	1781.6492919921875	1691.318115234375	1863.087646484375	1955.4798583984375	1436.97216796875	690.8853149414062	1273.7039794921875	2801.928466796875	2309.478271484375	1651.935302734375	666.6403198242188	1708.39306640625	1927.861572265625	1820.0537109375	1329.8665771484375	1494.35595703125	1209.6544189453125	1883.6588134765625	2106.682373046875	1146.9173583984375	1840.353515625	1833.704345703125	1545.1068115234375	1680.6171875	2124.940673828125	1258.7152099609375	1615.29443359375	1693.7374267578125	2358.45166015625	1664.514404296875	2793.174560546875	1422.343994140625	2224.468505859375	1990.973876953125	1289.4339599609375	1863.594970703125	1801.8980712890625	1981.2921142578125	1551.428955078125	-173.0050506591797	1980.7415771484375	2858.004150390625	1249.67822265625
60	120	2754.704833984375	2687.964111328125	3818.839111328125	4025.2333984375	2213.138427734375	3125.404296875	2889.98095703125	2740.087890625	3669.602294921875	2626.427001953125	1563.24462890625	3044.199462890625	2510.353515625	2803.998291015625	2688.348388671875	3121.245849609375	3688.07470703125	3832.73828125	1986.0081787109375	3377.930908203125	2360.25390625	3218.114990234375	1984.4429931640625	2974.02685546875	2821.3544921875	3536.57568359375	1841.9107666015625	1872.232421875	4395.193359375	2590.1142578125	3459.2060546875	1778.5638427734375	3600.641845703125	3325.2294921875	3477.047607421875	3942.174560546875	2118.966552734375	2944.453369140625	3396.9052734375	3338.388671875	3697.12939453125	3525.001708984375	2507.16796875	3893.027099609375	2848.353271484375	3025.328369140625	3066.09521484375	3389.329345703125	3208.27587890625	3605.17236328125	3477.813720703125	4653.4521484375	3334.342529296875	4351.6923828125	3400.694091796875	4084.1015625	3734.609375	3502.669921875	3089.85595703125	3645.11474609375	3424.876953125	3435.015869140625	3776.184326171875	2971.635498046875	5485.2294921875	3762.94189453125	3420.275390625	4427.16943359375	3531.68310546875	4088.97412109375	2710.87060546875	2864.439697265625	3393.09375	3002.988525390625	3465.9873046875	3519.632080078125	2453.1748046875	3758.810302734375	3782.5771484375	3217.695068359375	2657.90185546875	3340.766357421875	3570.061767578125	3148.095703125	3399.162841796875	4756.41943359375	3534.676025390625	4984.41259765625	3394.6298828125	4381.41748046875	4096.64501953125	3518.97216796875	3274.215087890625	3755.96337890625	3671.7529296875	3526.77490234375	3819.2119140625	2364.54296875	5421.4423828125	3267.016357421875
120	180	4062.81982421875	4534.01953125	5762.9248046875	5849.24658203125	5126.6943359375	5811.39892578125	3600.513916015625	4446.173828125	5220.19482421875	4354.83056640625	2265.37890625	5426.24462890625	4779.63427734375	3888.213134765625	4003.22509765625	4632.56884765625	5780.80712890625	6007.8349609375	4703.013671875	5914.59326171875	4335.69384765625	4733.12939453125	4041.27197265625	5100.0283203125	4397.5537109375	4401.537109375	3380.9755859375	2380.327880859375	5931.9453125	4609.59716796875	5185.91943359375	2148.296142578125	5688.07568359375	6076.60400390625	5046.9892578125	6771.3994140625	3216.279052734375	4643.599609375	4921.935546875	5042.55126953125	5049.4072265625	5824.69140625	5098.9326171875	6508.673828125	5339.94580078125	5044.31884765625	4562.51513671875	5637.61279296875	4916.6171875	5060.30419921875	5800.66943359375	7693.35498046875	5090.90869140625	6940.466796875	5385.4814453125	6598.1572265625	5377.88818359375	5945.88037109375	5362.14306640625	5687.072265625	5019.10009765625	5341.25439453125	5770.99853515625	4016.534912109375	7766.7607421875	5363.5146484375	4917.76611328125	4425.4853515625	6054.857421875	6380.14892578125	3647.970703125	4651.27587890625	5009.6181640625	4680.814453125	5373.6865234375	5905.0029296875	5153.29052734375	6342.494140625	5319.7236328125	4909.896484375	4365.0625	5512.05029296875	5897.4873046875	5835.28759765625	5503.29296875	7271.30078125	5360.6181640625	5716.97998046875	5639.69775390625	5916.08740234375	5821.07763671875	5337.89453125	5502.32568359375	5502.23828125	5142.64208984375	5134.07421875	5097.68896484375	3289.31787109375	8092.74462890625	4978.806640625
180	240	5099.94189453125	6257.38916015625	7266.322265625	7468.7900390625	6339.4921875	8320.484375	6507.1318359375	5819.98681640625	6111.98779296875	5156.3798828125	2902.5166015625	5804.70751953125	5645.3994140625	5831.83154296875	5121.8740234375	6140.365234375	7199.01025390625	7492.11279296875	6217.9560546875	7615.8603515625	6038.77734375	6339.88623046875	6175.35986328125	8126.41943359375	5997.68017578125	6119.9541015625	2384.63427734375	2625.169921875	6898.26171875	5644.98779296875	6427.8916015625	2210.629150390625	7491.42626953125	5629.96484375	7164.53857421875	7702.53515625	5221.84765625	6228.26953125	6755.37548828125	6277.23486328125	6760.806640625	7561.421875	6764.3154296875	8238.9541015625	6878.40380859375	6514.66455078125	5412.2841796875	7367.49658203125	7119.423828125	7449.48046875	7201.22265625	10262.220703125	6741.76611328125	8521.87890625	6845.5048828125	8622.1201171875	7168.64697265625	7083.421875	7054.482421875	7125.99609375	6402.474609375	6976.4794921875	7303.0556640625	5362.62109375	8860.654296875	6927.66748046875	6540.97705078125	6601.84765625	7457.14404296875	8331.1357421875	5222.7265625	5929.63232421875	6947.41845703125	6062.62109375	7425.67041015625	7617.51708984375	6960.99755859375	8168.466796875	7143.24169921875	6295.697265625	5221.650390625	6343.20556640625	7805.927734375	7002.89208984375	7229.7900390625	9418.6884765625	7143.83154296875	7931.88623046875	7464.76025390625	7932.6103515625	6333.52294921875	7044.9921875	6633.98583984375	6931.4248046875	6498.90673828125	6919.3203125	6200.236328125	5221.97802734375	11030.8505859375	6796.35400390625
240	360	6886.40673828125	8205.1357421875	9669.0595703125	10251.876953125	8168.791015625	10544.8642578125	8172.34423828125	7350.212890625	8271.8017578125	6553.4619140625	3615.4599609375	9271.642578125	7989.5908203125	6387.04296875	6842.64111328125	7990.794921875	9338.05078125	10268.97265625	8526.0712890625	10719.126953125	8521.6669921875	8629.8271484375	6266.40087890625	8800.6650390625	8036.30810546875	8171.83984375	4332.0439453125	3351.979248046875	10089.994140625	7767.94189453125	8329.353515625	2647.3369140625	9768.916015625	8495.3447265625	9326.33203125	10513.705078125	7212.3671875	8721.0869140625	8959.1005859375	8610.9453125	8448.734375	9479.1796875	8711.033203125	10284.626953125	8344.4326171875	8601.107421875	7328.27392578125	9355.078125	8940.3359375	9438.369140625	9955.052734375	13042.3154296875	9191.7080078125	12062.4287109375	8884.5322265625	11000.5546875	9505.6591796875	10105.5087890625	9236.8017578125	9517.736328125	8347.9990234375	8990.53515625	8838.283203125	6758.8369140625	12051.9931640625	9183.62109375	9324.7197265625	8277.1689453125	9882.96875	10591.8251953125	6778.98486328125	7956.41748046875	9228.7724609375	8102.236328125	9872.23046875	9376.4443359375	8593.353515625	10325.640625	9172.0341796875	8556.4873046875	7391.119140625	8488.5537109375	10134.88671875	8517.9658203125	9579.8134765625	12431.3232421875	9043.72265625	10258.935546875	9702.259765625	10449.26953125	8342.427734375	9311.9765625	9340.462890625	9684.197265625	8518.4423828125	9324.150390625	8389.341796875	6215.82861328125	12547.2841796875	8358.3193359375
360	480	8985.064453125	10584.306640625	12578.76171875	14317.59375	11924.2001953125	14149.119140625	10858.11328125	9915.1328125	10819.45703125	8596.513671875	4810.68310546875	13260.4912109375	10747.0224609375	9276.0830078125	8941.81640625	10398.814453125	12350.4404296875	13297.6494140625	11098.685546875	14606.390625	10210.142578125	11073.4658203125	7979.58349609375	12545.39453125	10058.3232421875	9917.8955078125	4849.8271484375	4259.7099609375	13198.9736328125	10360.650390625	10919.58203125	3446.22607421875	12706.73828125	10886.55078125	12300.3046875	14200.8125	8990.234375	11288.416015625	12219.7841796875	11538.8701171875	11847.3837890625	12441.720703125	12223.8837890625	13559.1669921875	11541.3369140625	11435.611328125	9766.9111328125	12307.1708984375	11840.609375	12334.8994140625	13369.14453125	16753.6328125	11868.40234375	15925.6591796875	11663.837890625	14368.5087890625	11973.482421875	13334.3076171875	12134.3134765625	13214.5927734375	11017.921875	12442.4873046875	12876.2744140625	8851.9501953125	15017.255859375	11919.2568359375	10708.103515625	11033.3388671875	12636.349609375	13465.0185546875	9630.46484375	10632.69921875	12211.72265625	10780.1376953125	13009.259765625	12605.841796875	11817.556640625	13480.3349609375	12471.1171875	11220.0732421875	10043.654296875	11524.888671875	13238.4482421875	12150.009765625	12488.107421875	16635.056640625	11463.24609375	14524.4423828125	12782.6728515625	14056.07421875	11449.5048828125	12777.9619140625	12017.916015625	12609.478515625	11118.544921875	12281.96484375	11531.638671875	9398.421875	17162.978515625	11167.1396484375
480	600	10746.4306640625	12777.9921875	14999.8330078125	17063.216796875	14848.9326171875	17883.6171875	11617.9375	11682.5068359375	12922.3916015625	11376.0087890625	5632.32763671875	18292.0859375	12759.95703125	10772.2529296875	10725.8984375	12638.8212890625	14616.6611328125	16298.1962890625	13806.3017578125	17675.9609375	13040.505859375	13110.0419921875	10910.8359375	14121.2314453125	12988.73828125	11494.3095703125	6748.91796875	4789.82470703125	14222.923828125	12939.369140625	12795.1064453125	3754.003662109375	15678.1005859375	14902.6728515625	14533.53125	16455.67578125	11382.376953125	13041.447265625	14159.1806640625	13579.166015625	14116.8447265625	14499.1875	14400.6650390625	16447.86328125	14310.783203125	13960.1552734375	11881.111328125	15110.4775390625	14286.4658203125	14538.5009765625	15305.111328125	19299.359375	13716.6181640625	17708.056640625	13838.7294921875	16836.27734375	14601.6630859375	15399.8974609375	13778.6416015625	15057.3505859375	13498.279296875	14357.5576171875	15345.259765625	11522.7294921875	19008.8125	14007.2744140625	13946.748046875	10240.0791015625	15226.0849609375	16518.451171875	11008.53515625	12748.8701171875	14610.5625	12914.0107421875	14767.9072265625	14648.2744140625	14419.9189453125	16089.875	14641.80859375	13538.7705078125	12021.3544921875	14078.8876953125	15698.9296875	13428.9267578125	15009.9140625	18958.7109375	14146.4326171875	16499.474609375	14933.64453125	16660.677734375	13565.515625	14573.736328125	14449.53515625	14971.373046875	13298.9970703125	14205.8544921875	15188.46484375	10605.2158203125	19846.587890625	13919.7451171875
600	900	13244.25390625	15878.8095703125	17913.435546875	21132.11328125	17936.07421875	21903.69921875	16001.3427734375	15567.212890625	15559.2236328125	14600.0703125	7074.37548828125	19290.01953125	16247.8359375	11535.169921875	13216.34375	15863.1884765625	17444.634765625	20646.36328125	18329.646484375	22107.56640625	15933.994140625	15631.6484375	13833.861328125	17871.7734375	16167.3134765625	12918.6337890625	8145.1796875	5514.2197265625	17971.900390625	16148.345703125	15575.275390625	4491.6298828125	18921.189453125	17135.20703125	17942.873046875	20116.06640625	14088.8486328125	16299.6572265625	17340.271484375	16834.619140625	16957.7734375	17983.0625	17581.251953125	19609.5390625	17654.23046875	16829.720703125	14574.6767578125	18407.287109375	17789.810546875	17731.98828125	19067.04296875	22943.048828125	16939.291015625	22412.484375	17239.064453125	20796.13671875	18919.126953125	18712.84375	17597.59375	18670.37890625	16457.716796875	18039.689453125	18815.419921875	13430.5224609375	22778.978515625	17605.982421875	17459.044921875	15941.0263671875	18614.083984375	19397.3046875	13978.4423828125	15754.8134765625	17608.6875	15819.2099609375	17538.765625	18134.19140625	17833.572265625	19894.275390625	18745.466796875	16560.609375	15269.69921875	17369.873046875	18816.568359375	16467.232421875	18179.70703125	22099.365234375	17184.62890625	19872.4375	18268.982421875	20348.5625	17748.986328125	18214.23828125	17545.47265625	17906.279296875	16453.42578125	17774.880859375	18078.9921875	13547.4140625	23007.2265625	17334.052734375
